List,round_num,game_type,decisions,training,x1G,x2G,unknown_prob_G,x1B,x2B,unknown_prob_B,t1G,t2G,t1B,t2B
1,0,risky_setup_1,1,TRUE,1.5,0.5,0,0,0,0,6,2,0,0
2,0,risky_setup_1,1,TRUE,2,0.4,0,0,0,0,7,3,0,0
3,1,risky_setup_1,1,FALSE,1.5,0.5,0,0,0,0,6,2,0,0
4,2,risky_setup_1,1,FALSE,2,0.4,0,0,0,0,7,3,0,0
5,3,risky_setup_1,1,FALSE,2.5,0.3,0,0,0,0,8,4,0,0
6,4,risky_setup_1,1,FALSE,3,0.2,0,0,0,0,9,5,0,0
7,5,risky_setup_1,1,FALSE,3.5,0.1,0,0,0,0,10,6,0,0
8,6,risky_setup_1,1,FALSE,1.5,0.5,0,0,0,0,6,2,0,0
9,7,risky_setup_1,1,FALSE,2,0.4,0,0,0,0,7,3,0,0
10,8,risky_setup_1,1,FALSE,2.5,0.3,0,0,0,0,8,4,0,0
11,9,risky_setup_1,1,FALSE,3,0.2,0,0,0,0,9,5,0,0
12,10,risky_setup_1,1,FALSE,3.5,0.1,0,0,0,0,10,6,0,0
13,0,risky_setup_3_ambi,1,TRUE,1.5,0.5,0.2,0,0,0,6,2,0,0
14,0,risky_setup_3_ambi,1,TRUE,2,0.4,0.2,0,0,0,7,3,0,0
15,1,risky_setup_3_ambi,1,FALSE,1.5,0.5,0.2,0,0,0,6,2,0,0
16,2,risky_setup_3_ambi,1,FALSE,2,0.4,0.2,0,0,0,7,3,0,0
17,3,risky_setup_3_ambi,1,FALSE,2.5,0.3,0.2,0,0,0,8,4,0,0
18,4,risky_setup_3_ambi,1,FALSE,3,0.2,0.2,0,0,0,9,5,0,0
19,5,risky_setup_3_ambi,1,FALSE,3.5,0.1,0.2,0,0,0,10,6,0,0
20,6,risky_setup_3_ambi,1,FALSE,1.5,0.5,0.2,0,0,0,6,2,0,0
21,7,risky_setup_3_ambi,1,FALSE,2,0.4,0.2,0,0,0,7,3,0,0
22,8,risky_setup_3_ambi,1,FALSE,2.5,0.3,0.2,0,0,0,8,4,0,0
23,9,risky_setup_3_ambi,1,FALSE,3,0.2,0.2,0,0,0,9,5,0,0
24,10,risky_setup_3_ambi,1,FALSE,3.5,0.1,0.2,0,0,0,10,6,0,0
25,0,risky_setup_2,2,TRUE,1.5,0.5,0,1.6,0.4,0,6,2,8,1
26,0,risky_setup_2,2,TRUE,2,0.4,0,2.1,0.3,0,7,3,9,2
27,1,risky_setup_2,2,FALSE,1.5,0.5,0,1.6,0.4,0,6,2,8,1
28,2,risky_setup_2,2,FALSE,2,0.4,0,2.1,0.3,0,7,3,9,2
29,3,risky_setup_2,2,FALSE,2.5,0.3,0,2.6,0.2,0,8,4,10,3
30,4,risky_setup_2,2,FALSE,3,0.2,0,3.1,0.1,0,9,5,11,4
31,5,risky_setup_2,2,FALSE,3.5,0.1,0,3.6,0,0,10,6,12,5
32,6,risky_setup_2,2,FALSE,1.5,0.5,0,1.6,0.4,0,6,2,8,1
33,7,risky_setup_2,2,FALSE,2,0.4,0,2.1,0.3,0,7,3,9,2
34,8,risky_setup_2,2,FALSE,2.5,0.3,0,2.6,0.2,0,8,4,10,3
35,9,risky_setup_2,2,FALSE,3,0.2,0,3.1,0.1,0,9,5,11,4
36,10,risky_setup_2,2,FALSE,3.5,0.1,0,3.6,0,0,10,6,12,5
37,0,risky_setup_4_ambi,2,TRUE,1.5,0.5,0.2,1.6,0.4,0.2,6,2,8,1
38,0,risky_setup_4_ambi,2,TRUE,2,0.4,0.2,2.1,0.3,0.2,7,3,9,2
39,1,risky_setup_4_ambi,2,FALSE,1.5,0.5,0.2,1.6,0.4,0.2,6,2,8,1
40,2,risky_setup_4_ambi,2,FALSE,2,0.4,0.2,2.1,0.3,0.2,7,3,9,2
41,3,risky_setup_4_ambi,2,FALSE,2.5,0.3,0.2,2.6,0.2,0.2,8,4,10,3
42,4,risky_setup_4_ambi,2,FALSE,3,0.2,0.2,3.1,0.1,0.2,9,5,11,4
43,5,risky_setup_4_ambi,2,FALSE,3.5,0.1,0.2,3.6,0,0.2,10,6,12,5
44,6,risky_setup_4_ambi,2,FALSE,1.5,0.5,0.2,1.6,0.4,0.2,6,2,8,1
45,7,risky_setup_4_ambi,2,FALSE,2,0.4,0.2,2.1,0.3,0.2,7,3,9,2
46,8,risky_setup_4_ambi,2,FALSE,2.5,0.3,0.2,2.6,0.2,0.2,8,4,10,3
47,9,risky_setup_4_ambi,2,FALSE,3,0.2,0.2,3.1,0.1,0.2,9,5,11,4
48,10,risky_setup_4_ambi,2,FALSE,3.5,0.1,0.2,3.6,0,0.2,10,6,12,5
